1,1,Started my exercise routine.,2025-04-01 10:00:00
2,1,Missed reading today.,2025-04-01 12:30:00
3,2,Finished 20 pages of the book.,2025-04-02 13:15:00
4,2,Completed my water intake goal.,2025-04-02 14:30:00
5,3,Lifting weights is going well.,2025-04-03 09:00:00
6,3,Reading is a bit slow, need to improve.,2025-04-03 12:00:00
7,4,Yoga session was amazing today!,2025-04-04 09:15:00
8,4,Struggled with reading today.,2025-04-04 11:00:00
9,5,Walked 12,000 steps today!,2025-04-05 16:30:00
10,5,Did not finish my reading.,2025-04-05 17:00:00
